Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Tata Nexon,29.9,14.2,7,Sedan,Electric,Manual,Excellent,Family,Grey
Renault Triber,39.64,14.0,5,Sedan,Hybrid,Automatic,Used,Family,Silver
MG Hector,22.2,18.0,4,MUV,Petrol,Automatic,New,Family,Silver
Hyundai Venue,10.36,23.5,7,MUV,Hybrid,Automatic,New,Sporty,Grey
Toyota Innova,16.83,10.4,4,SUV,Diesel,Automatic,Excellent,Luxury,White
Toyota Fortuner,40.76,15.6,5,MUV,Hybrid,Manual,Excellent,Luxury,Grey
Hyundai Venue,37.12,11.6,5,Sedan,Diesel,Automatic,New,Family,Silver
Mahindra Scorpio,17.85,12.4,7,SUV,Petrol,Automatic,New,Sporty,Grey
Tata Nexon,37.08,14.7,5,SUV,Hybrid,Automatic,Excellent,Family,Silver
Mahindra Scorpio,42.74,11.2,7,Sedan,Petrol,Automatic,New,Luxury,Black
Toyota Innova,44.72,15.0,5,Sedan,Diesel,Automatic,Excellent,Sporty,Silver
Tata Nexon,12.55,14.6,4,Sedan,Petrol,Manual,Excellent,Luxury,Blue
Hyundai Creta,20.81,19.3,5,Hatchback,Petrol,Automatic,Excellent,Family,Red
Renault Triber,24.63,12.9,4,Hatchback,CNG,Automatic,Excellent,Sporty,Black
Hyundai Venue,22.08,16.1,4,MUV,Petrol,Manual,Used,Sporty,Red
Honda City,22.7,20.4,5,MUV,Petrol,Manual,New,Luxury,Silver
Toyota Innova,21.36,16.7,4,SUV,Electric,Manual,Excellent,Family,Silver
Maruti Swift,35.51,11.4,7,Hatchback,Hybrid,Automatic,New,Sporty,Black
Tata Nexon,31.36,24.5,7,Hatchback,Hybrid,Manual,Excellent,Sporty,Black
Maruti Swift,7.56,10.8,7,SUV,CNG,Manual,Excellent,Family,Blue
Hyundai Creta,34.95,19.2,4,MUV,CNG,Manual,Used,Family,Red
Tata Nexon,31.99,16.7,4,MUV,Petrol,Manual,New,Family,Silver
Kia Seltos,32.93,27.7,7,Sedan,Electric,Automatic,Excellent,Sporty,Red
Hyundai Venue,43.15,19.5,7,MUV,Hybrid,Manual,New,Family,Red
Hyundai Venue,14.57,14.5,4,Sedan,Electric,Automatic,Excellent,Sporty,Black
Maruti Swift,26.78,12.3,7,Sedan,Electric,Manual,New,Family,Black
Maruti Baleno,31.49,12.0,4,MUV,CNG,Automatic,Excellent,Luxury,Black
Maruti Baleno,13.79,15.0,4,SUV,Diesel,Manual,Excellent,Family,Red
Honda City,18.83,12.9,4,Sedan,Hybrid,Automatic,Used,Sporty,Red
Mahindra Scorpio,40.64,18.7,5,MUV,Hybrid,Manual,New,Family,White
Toyota Fortuner,21.79,13.8,7,SUV,Hybrid,Manual,New,Luxury,Silver
Maruti Swift,14.32,23.9,4,MUV,CNG,Manual,Used,Sporty,White
Hyundai Creta,27.45,19.5,5,MUV,CNG,Manual,Used,Family,Blue
Mahindra Scorpio,37.57,22.1,5,MUV,Diesel,Manual,Excellent,Luxury,Silver
Hyundai Venue,42.28,15.2,5,MUV,Hybrid,Automatic,Used,Luxury,Silver
Hyundai Venue,27.51,14.0,7,SUV,Petrol,Manual,Excellent,Luxury,Blue
Maruti Baleno,23.5,18.1,7,SUV,Hybrid,Automatic,Excellent,Luxury,White
Maruti Swift,25.32,27.9,7,Sedan,Petrol,Manual,New,Sporty,Silver
Mahindra Scorpio,31.09,22.0,5,SUV,CNG,Manual,Used,Family,Red
Maruti Baleno,17.83,14.9,4,Hatchback,Petrol,Manual,Used,Luxury,Blue
Toyota Fortuner,36.06,19.0,7,MUV,Electric,Manual,Excellent,Sporty,White
Renault Triber,24.82,14.3,7,Hatchback,Electric,Automatic,New,Sporty,Silver
Tata Nexon,32.59,12.2,7,SUV,CNG,Automatic,New,Family,White
Tata Nexon,28.66,23.0,7,MUV,Diesel,Manual,Excellent,Luxury,Black
Honda City,7.78,10.5,7,Hatchback,Electric,Automatic,New,Luxury,White
Renault Triber,16.88,21.4,7,Hatchback,CNG,Automatic,Used,Sporty,Black
Hyundai Venue,41.71,23.0,7,Sedan,CNG,Automatic,New,Luxury,Red
Hyundai Creta,24.64,24.6,5,Hatchback,CNG,Manual,Used,Luxury,Grey
Honda City,35.36,25.9,7,SUV,Diesel,Manual,Used,Family,White
Toyota Fortuner,16.48,19.1,4,SUV,Electric,Manual,Used,Sporty,Grey
Honda City,36.11,24.0,4,SUV,Petrol,Automatic,Excellent,Sporty,Red
MG Hector,18.42,14.7,4,Sedan,Electric,Automatic,Excellent,Sporty,Grey
Tata Nexon,11.5,10.9,4,Hatchback,Diesel,Automatic,New,Family,Grey
Honda City,18.52,23.9,5,MUV,Petrol,Manual,Used,Family,Blue
Toyota Fortuner,25.42,10.2,5,Hatchback,Petrol,Automatic,New,Family,White
Honda City,35.32,26.9,4,Sedan,CNG,Manual,Excellent,Luxury,Blue
Toyota Innova,34.61,22.9,7,MUV,Diesel,Automatic,Excellent,Family,Blue
Hyundai Venue,18.93,16.4,5,Sedan,Diesel,Manual,Used,Luxury,White
Kia Seltos,6.89,27.1,7,SUV,Diesel,Manual,Excellent,Sporty,Red
MG Hector,7.02,12.2,7,Hatchback,CNG,Manual,New,Luxury,Silver
Mahindra Scorpio,28.43,18.8,5,Hatchback,Electric,Manual,New,Luxury,Red
Maruti Baleno,4.76,17.5,5,Hatchback,Hybrid,Manual,Excellent,Luxury,Grey
Hyundai Creta,21.8,20.6,4,Hatchback,Petrol,Manual,New,Luxury,White
Hyundai Creta,26.43,16.0,7,Sedan,CNG,Manual,Used,Luxury,Red
Tata Nexon,44.39,16.1,4,Sedan,Electric,Manual,Used,Sporty,Red
Toyota Innova,11.18,23.7,5,MUV,Petrol,Automatic,Excellent,Family,Silver
Maruti Baleno,10.49,13.4,7,SUV,CNG,Manual,Used,Sporty,Red
Kia Seltos,23.01,10.9,5,Hatchback,Electric,Automatic,Excellent,Family,Blue
Renault Triber,40.05,27.8,5,Sedan,Diesel,Automatic,Used,Luxury,Blue
MG Hector,36.78,27.6,4,Sedan,Hybrid,Manual,Excellent,Luxury,Red
Maruti Swift,21.67,12.9,5,Sedan,Hybrid,Automatic,New,Family,Silver
Kia Seltos,29.07,24.9,5,SUV,CNG,Manual,New,Family,Blue
Kia Seltos,11.47,14.9,4,Sedan,Electric,Automatic,New,Sporty,Silver
Tata Nexon,22.38,22.8,4,Sedan,Diesel,Manual,Excellent,Luxury,Black
Maruti Swift,31.25,16.0,4,SUV,Electric,Manual,Used,Luxury,Blue
Mahindra Scorpio,26.96,15.2,7,Sedan,Electric,Automatic,Used,Sporty,Silver
Maruti Baleno,15.22,26.2,5,Hatchback,CNG,Manual,New,Luxury,Red
Toyota Innova,6.28,22.7,5,Sedan,CNG,Automatic,Excellent,Sporty,Silver
Honda City,10.92,18.6,5,Sedan,Diesel,Manual,Used,Luxury,Silver
MG Hector,28.66,15.4,4,Hatchback,Electric,Manual,Excellent,Sporty,White
Kia Seltos,42.04,18.0,4,Sedan,CNG,Automatic,New,Sporty,Black
Tata Nexon,7.76,15.9,4,MUV,Hybrid,Automatic,Excellent,Luxury,Grey
Renault Triber,32.01,18.4,7,Hatchback,Diesel,Automatic,Used,Luxury,Black
Maruti Swift,36.12,27.5,7,MUV,CNG,Automatic,Used,Family,Grey
Hyundai Venue,35.55,25.2,5,Hatchback,Hybrid,Automatic,Excellent,Sporty,Blue
Toyota Fortuner,38.98,22.1,7,Sedan,Diesel,Manual,Excellent,Sporty,White
Renault Triber,36.44,12.6,5,Hatchback,Diesel,Automatic,Used,Sporty,Silver
Toyota Fortuner,9.3,21.8,5,SUV,Hybrid,Manual,Used,Family,Black
Tata Nexon,39.14,11.4,4,Hatchback,Diesel,Manual,New,Sporty,Silver
Kia Seltos,35.87,13.2,4,Hatchback,Diesel,Automatic,Excellent,Family,Red
MG Hector,5.21,20.5,7,SUV,Electric,Automatic,New,Sporty,Red
Hyundai Venue,21.84,18.4,7,Sedan,Petrol,Manual,New,Luxury,Blue
Toyota Innova,44.69,20.1,5,Sedan,Hybrid,Automatic,Excellent,Family,Black
Kia Seltos,10.11,27.6,4,SUV,CNG,Automatic,New,Luxury,Black
Tata Nexon,26.14,11.5,4,MUV,Electric,Manual,Used,Family,Black
MG Hector,23.87,25.1,5,Hatchback,Petrol,Manual,Used,Luxury,Blue
Maruti Baleno,43.8,21.8,4,Hatchback,Hybrid,Automatic,Excellent,Sporty,Silver
Hyundai Venue,8.33,24.1,7,Sedan,Hybrid,Manual,Used,Sporty,Grey
Maruti Swift,40.49,19.3,5,Hatchback,Diesel,Manual,New,Family,Grey
Tata Nexon,21.36,24.5,5,SUV,Diesel,Manual,Excellent,Luxury,Red
Hyundai Creta,21.05,24.4,4,Sedan,Hybrid,Manual,Excellent,Family,Red
Maruti Baleno,30.49,27.1,5,SUV,Petrol,Automatic,New,Sporty,Blue
MG Hector,29.38,18.3,7,Sedan,Electric,Manual,New,Family,Red
Honda City,13.13,27.6,7,Hatchback,Petrol,Manual,New,Sporty,Silver
Toyota Innova,11.08,21.4,5,SUV,Petrol,Manual,Excellent,Sporty,Blue
Renault Triber,43.04,28.0,5,Sedan,Hybrid,Automatic,New,Sporty,Grey
MG Hector,14.81,25.8,4,Sedan,CNG,Manual,New,Luxury,White
Maruti Baleno,18.0,23.7,5,SUV,Hybrid,Manual,Excellent,Sporty,White
Renault Triber,37.63,17.9,4,MUV,Diesel,Automatic,New,Luxury,Blue
Kia Seltos,7.71,10.8,4,Sedan,Diesel,Automatic,Used,Luxury,Grey
Mahindra Scorpio,30.69,14.7,4,Sedan,CNG,Automatic,Excellent,Family,Black
MG Hector,31.99,16.0,7,Hatchback,Hybrid,Manual,New,Sporty,Red
Hyundai Creta,20.71,17.1,5,MUV,Petrol,Automatic,Used,Sporty,Black
Mahindra Scorpio,28.8,13.9,4,MUV,Petrol,Manual,New,Family,Blue
Toyota Innova,35.0,15.1,4,Hatchback,Petrol,Automatic,Excellent,Family,Black
MG Hector,12.17,10.0,5,SUV,CNG,Automatic,Excellent,Family,Silver
Hyundai Venue,38.22,26.5,5,Hatchback,Electric,Automatic,Excellent,Sporty,White
Toyota Innova,40.52,16.5,5,SUV,Petrol,Manual,Excellent,Luxury,Black
Mahindra Scorpio,40.56,24.6,5,Sedan,Petrol,Manual,Excellent,Sporty,Grey
Renault Triber,12.34,13.2,4,MUV,Diesel,Manual,Used,Family,Blue
Toyota Fortuner,20.62,27.7,7,MUV,Diesel,Manual,New,Sporty,Blue
Toyota Innova,34.11,22.3,7,SUV,Hybrid,Automatic,Excellent,Sporty,Blue
Tata Nexon,11.25,23.3,4,Sedan,Hybrid,Automatic,New,Luxury,Black
Toyota Innova,4.73,18.3,7,MUV,Petrol,Manual,Excellent,Luxury,White
Hyundai Creta,38.04,25.8,5,MUV,Diesel,Manual,New,Sporty,White
Maruti Swift,18.93,21.8,4,SUV,Petrol,Automatic,Used,Luxury,Black
Hyundai Venue,41.23,20.7,5,SUV,Diesel,Manual,Used,Family,White
Mahindra Scorpio,7.85,15.5,5,SUV,Diesel,Automatic,Excellent,Sporty,Silver
Hyundai Venue,14.85,27.3,4,Sedan,Diesel,Automatic,Used,Family,Silver
Mahindra Scorpio,23.86,13.8,4,Hatchback,CNG,Manual,Excellent,Family,Blue
Toyota Innova,39.69,13.7,4,Hatchback,CNG,Manual,Excellent,Luxury,Red
Maruti Baleno,9.96,11.6,5,MUV,Petrol,Manual,Used,Luxury,Grey
Hyundai Creta,4.04,16.7,5,MUV,Electric,Automatic,Excellent,Family,White
Hyundai Creta,31.22,24.7,4,MUV,Hybrid,Automatic,Used,Sporty,Silver
Toyota Fortuner,10.58,11.2,7,MUV,Electric,Automatic,New,Luxury,Blue
MG Hector,17.52,26.5,4,Sedan,Electric,Automatic,Used,Luxury,Red
Tata Nexon,35.31,17.6,4,Sedan,Electric,Automatic,Excellent,Family,Silver
Renault Triber,25.95,12.0,5,Sedan,CNG,Manual,Used,Family,Red
Toyota Innova,23.25,24.5,7,MUV,CNG,Manual,Excellent,Sporty,Black
Maruti Swift,40.53,24.1,7,Sedan,Diesel,Automatic,Used,Luxury,White
Tata Nexon,29.68,19.6,4,SUV,Petrol,Automatic,Used,Sporty,Red
Hyundai Creta,19.95,26.4,4,Hatchback,Petrol,Automatic,Used,Sporty,Black
Renault Triber,38.69,21.3,5,SUV,Petrol,Automatic,New,Luxury,White
Toyota Innova,20.47,10.4,7,Hatchback,CNG,Automatic,Excellent,Family,White
Kia Seltos,5.0,16.6,7,Hatchback,Petrol,Automatic,New,Sporty,Blue
Tata Nexon,27.31,20.2,4,SUV,Electric,Automatic,Used,Luxury,Blue
Mahindra Scorpio,42.34,27.5,4,SUV,CNG,Manual,Used,Luxury,Grey
Maruti Baleno,15.04,14.5,4,Hatchback,Hybrid,Manual,New,Sporty,Silver
Toyota Innova,11.37,26.3,7,Sedan,CNG,Automatic,Excellent,Sporty,Blue
Toyota Fortuner,26.33,13.6,4,MUV,Electric,Manual,New,Family,Grey
Renault Triber,31.25,15.7,4,MUV,Hybrid,Manual,Used,Family,White
Maruti Baleno,24.05,11.3,4,Hatchback,CNG,Manual,Excellent,Luxury,Blue
Maruti Swift,26.65,16.7,4,Hatchback,Electric,Automatic,Excellent,Sporty,Blue
Mahindra Scorpio,25.68,17.1,5,Sedan,CNG,Manual,Excellent,Family,Blue
Maruti Baleno,37.23,18.4,7,SUV,Electric,Manual,New,Luxury,Red
MG Hector,24.99,25.6,4,MUV,Petrol,Manual,New,Luxury,Red
Hyundai Venue,16.56,26.2,5,MUV,CNG,Automatic,Excellent,Family,Red
Toyota Fortuner,34.31,17.8,7,SUV,Petrol,Manual,Used,Luxury,Blue
Mahindra Scorpio,8.95,23.0,7,MUV,Hybrid,Manual,New,Sporty,Grey
Hyundai Creta,23.4,13.9,7,Hatchback,CNG,Manual,Used,Sporty,Grey
Toyota Innova,41.13,18.2,4,MUV,Electric,Automatic,Excellent,Family,White
Kia Seltos,30.48,20.4,7,Hatchback,Diesel,Automatic,New,Sporty,Silver
Tata Nexon,28.65,18.4,5,Sedan,Petrol,Manual,Excellent,Family,Red
Tata Nexon,17.28,18.1,7,MUV,CNG,Manual,New,Sporty,Blue
Renault Triber,9.68,20.3,5,Sedan,Hybrid,Manual,New,Family,White
Mahindra Scorpio,25.35,27.4,7,Hatchback,Hybrid,Manual,New,Sporty,Red
Maruti Swift,36.31,21.3,4,SUV,Petrol,Automatic,Used,Luxury,Silver
Toyota Innova,8.92,18.3,7,Sedan,Hybrid,Manual,Excellent,Luxury,White
Kia Seltos,32.99,12.3,5,Sedan,Hybrid,Manual,Excellent,Luxury,Grey
Tata Nexon,10.39,13.5,5,MUV,CNG,Automatic,Excellent,Sporty,Red
Toyota Fortuner,6.24,10.2,5,Sedan,CNG,Manual,Excellent,Sporty,Silver
Honda City,31.97,16.6,4,SUV,Petrol,Manual,Used,Sporty,Grey
Maruti Baleno,21.23,14.7,5,Sedan,Petrol,Automatic,Excellent,Sporty,Blue
Mahindra Scorpio,24.56,23.3,7,Sedan,CNG,Automatic,Excellent,Luxury,Silver
Maruti Swift,30.02,12.3,4,Sedan,Hybrid,Manual,Used,Sporty,Silver
Renault Triber,10.36,16.5,4,SUV,Petrol,Manual,Used,Sporty,Silver
Mahindra Scorpio,22.52,14.1,7,Hatchback,Diesel,Automatic,Excellent,Family,Silver
Toyota Innova,23.24,11.9,4,MUV,CNG,Automatic,Excellent,Family,Grey
Toyota Fortuner,16.7,18.1,5,MUV,Hybrid,Automatic,Excellent,Luxury,Blue
Mahindra Scorpio,4.31,27.2,7,Sedan,CNG,Automatic,Used,Luxury,Grey
Maruti Swift,6.66,27.5,5,SUV,Electric,Manual,Excellent,Luxury,Black
Toyota Fortuner,16.94,20.2,5,Hatchback,CNG,Automatic,Used,Luxury,Grey
Maruti Swift,20.48,13.5,5,Sedan,Electric,Automatic,New,Sporty,Black
Tata Nexon,26.44,18.7,5,Sedan,Hybrid,Manual,Excellent,Sporty,Red
Kia Seltos,43.42,10.5,5,SUV,Electric,Manual,Excellent,Sporty,Silver
MG Hector,20.84,18.2,5,MUV,Hybrid,Automatic,New,Sporty,Black
MG Hector,7.72,23.2,4,Sedan,Electric,Automatic,Excellent,Family,White
Maruti Baleno,43.05,15.5,7,SUV,Hybrid,Manual,Excellent,Sporty,Grey
Renault Triber,7.18,26.3,7,MUV,Hybrid,Manual,Excellent,Family,Grey
MG Hector,23.86,24.9,5,SUV,CNG,Manual,Used,Family,Red
Renault Triber,4.24,10.9,4,MUV,Petrol,Manual,Used,Sporty,Grey
Hyundai Venue,24.29,16.0,5,Hatchback,Diesel,Manual,Used,Family,White
Maruti Baleno,26.1,10.7,4,Hatchback,CNG,Automatic,Used,Family,Red
Maruti Swift,20.34,24.0,4,SUV,Petrol,Manual,Excellent,Sporty,Blue
Toyota Fortuner,32.82,13.0,7,Hatchback,Hybrid,Manual,Excellent,Luxury,White
Hyundai Venue,42.67,14.1,7,Hatchback,Petrol,Automatic,Used,Sporty,Red
Mahindra Scorpio,25.73,12.2,5,Sedan,Petrol,Automatic,Used,Luxury,Silver
Toyota Innova,38.59,25.7,7,Hatchback,Hybrid,Automatic,Excellent,Sporty,Red
Renault Triber,6.38,19.9,5,Sedan,Hybrid,Manual,New,Sporty,White
MG Hector,16.13,17.3,7,Hatchback,Hybrid,Automatic,Used,Family,Grey
Honda City,22.18,27.3,5,Hatchback,CNG,Manual,Used,Sporty,White
Maruti Swift,44.2,11.3,5,Sedan,CNG,Automatic,Excellent,Luxury,White
Toyota Fortuner,18.54,13.4,5,SUV,Petrol,Automatic,Excellent,Sporty,Black
MG Hector,33.05,24.5,7,Hatchback,CNG,Manual,New,Family,Grey
Kia Seltos,5.32,23.8,4,MUV,Electric,Manual,New,Sporty,Blue
Hyundai Venue,39.09,20.4,4,MUV,Petrol,Automatic,Used,Family,Grey
Tata Nexon,22.29,23.1,7,SUV,Petrol,Automatic,New,Luxury,Black
MG Hector,7.58,10.9,7,MUV,Electric,Manual,Used,Sporty,White
Mahindra Scorpio,41.45,10.6,5,Sedan,Diesel,Automatic,Used,Family,Silver
MG Hector,7.3,23.3,7,SUV,Electric,Automatic,Excellent,Sporty,Black
Mahindra Scorpio,27.34,24.7,5,MUV,Hybrid,Automatic,Used,Luxury,Red
Hyundai Venue,35.27,10.5,4,MUV,Diesel,Automatic,Used,Luxury,Silver
Hyundai Creta,32.08,26.0,5,MUV,CNG,Manual,Excellent,Family,Black
Kia Seltos,21.79,15.0,4,MUV,Hybrid,Manual,Used,Sporty,Blue
Toyota Innova,16.96,11.2,5,SUV,Electric,Manual,Excellent,Sporty,Silver
Hyundai Creta,30.53,15.3,5,MUV,Hybrid,Automatic,New,Sporty,White
Toyota Fortuner,23.39,19.3,4,SUV,Electric,Automatic,Used,Sporty,Black
Kia Seltos,9.22,25.9,4,SUV,Electric,Manual,Used,Family,White
Maruti Swift,30.81,15.2,7,MUV,CNG,Automatic,Excellent,Family,Grey
Tata Nexon,35.86,10.4,4,SUV,Hybrid,Automatic,Excellent,Family,Black
Toyota Fortuner,9.89,12.7,4,Sedan,Electric,Automatic,Used,Sporty,Blue
Maruti Swift,40.68,15.4,7,Sedan,Hybrid,Manual,Excellent,Family,White
Hyundai Creta,16.88,21.8,7,SUV,Petrol,Manual,New,Luxury,White
Renault Triber,4.21,11.5,4,Sedan,CNG,Manual,Used,Family,White
Honda City,41.75,20.0,7,Sedan,CNG,Automatic,Excellent,Family,Black
Renault Triber,18.39,17.0,5,MUV,Hybrid,Manual,Excellent,Family,Grey
Renault Triber,12.67,12.2,7,Sedan,Diesel,Manual,Used,Family,Silver
Kia Seltos,42.22,16.5,7,MUV,Diesel,Automatic,Excellent,Luxury,Blue
Mahindra Scorpio,29.04,13.2,5,Hatchback,Electric,Automatic,Excellent,Sporty,Grey
Mahindra Scorpio,19.09,18.6,5,Sedan,Hybrid,Automatic,Used,Luxury,Red
Maruti Swift,18.39,19.3,5,SUV,Petrol,Manual,Used,Sporty,White
Hyundai Venue,14.74,14.6,5,Sedan,Diesel,Automatic,Used,Luxury,Black
Hyundai Creta,18.87,14.8,7,Hatchback,Electric,Automatic,Excellent,Sporty,Grey
Honda City,22.59,15.5,7,MUV,Diesel,Automatic,Excellent,Luxury,Grey
Hyundai Venue,6.44,17.7,4,SUV,Electric,Automatic,Excellent,Sporty,Silver
MG Hector,13.71,18.7,4,SUV,Hybrid,Automatic,Used,Family,White
Toyota Innova,5.67,25.6,4,MUV,Diesel,Manual,Excellent,Sporty,White
Maruti Swift,25.87,17.2,7,SUV,CNG,Automatic,Excellent,Family,Red
MG Hector,26.7,14.1,5,Hatchback,CNG,Automatic,Excellent,Sporty,Blue
Hyundai Venue,44.62,27.6,5,Sedan,Diesel,Manual,Used,Sporty,White
Toyota Fortuner,29.61,20.1,7,Hatchback,CNG,Manual,New,Sporty,White
MG Hector,33.46,17.6,7,MUV,CNG,Automatic,New,Luxury,Blue
Hyundai Creta,6.26,24.3,4,SUV,Diesel,Automatic,Excellent,Family,Black
Mahindra Scorpio,35.88,15.6,5,Hatchback,CNG,Automatic,New,Luxury,Blue
Hyundai Venue,16.29,11.1,5,SUV,Electric,Automatic,Excellent,Luxury,Grey
Maruti Baleno,13.46,16.9,4,SUV,Petrol,Automatic,New,Sporty,Blue
Toyota Innova,20.34,22.4,4,Sedan,CNG,Automatic,Excellent,Family,White
Hyundai Creta,10.13,11.5,5,MUV,Diesel,Manual,Used,Family,Black
Honda City,32.17,10.3,4,Hatchback,CNG,Manual,Excellent,Family,Black
Honda City,17.5,12.8,4,MUV,CNG,Manual,Excellent,Family,Silver
Hyundai Creta,9.23,18.5,5,SUV,Petrol,Automatic,Excellent,Family,Grey
Kia Seltos,33.44,16.9,5,Hatchback,CNG,Automatic,Excellent,Sporty,Blue
Maruti Baleno,27.79,22.7,4,Sedan,Hybrid,Manual,New,Family,Silver
Toyota Innova,44.79,16.1,5,SUV,Diesel,Automatic,Excellent,Sporty,Silver
Toyota Fortuner,36.79,11.4,7,Hatchback,Petrol,Manual,Used,Sporty,Black
Renault Triber,41.42,27.0,4,Hatchback,CNG,Manual,Excellent,Family,Silver
Toyota Fortuner,5.25,21.7,4,MUV,Electric,Manual,New,Luxury,White
Kia Seltos,19.66,27.5,4,Hatchback,Diesel,Automatic,Used,Family,White
Honda City,32.5,24.1,5,Hatchback,CNG,Manual,Used,Family,Blue
Honda City,12.2,23.8,7,SUV,Petrol,Automatic,Excellent,Sporty,Black
Kia Seltos,15.71,18.6,5,SUV,Diesel,Manual,Excellent,Family,Red
Toyota Innova,31.11,26.6,5,Sedan,Electric,Manual,Excellent,Luxury,Red
Honda City,35.15,16.1,7,SUV,Electric,Automatic,New,Luxury,Grey
Renault Triber,43.04,16.3,7,SUV,Diesel,Automatic,Excellent,Luxury,Silver
Toyota Fortuner,15.79,22.4,7,Sedan,Diesel,Manual,Excellent,Sporty,Grey
Maruti Swift,10.44,24.2,5,SUV,Diesel,Automatic,Excellent,Family,Red
Kia Seltos,22.99,18.9,7,Hatchback,CNG,Manual,Used,Luxury,Blue
Hyundai Creta,13.7,19.1,7,Hatchback,Electric,Manual,New,Family,Black
Tata Nexon,29.9,17.6,7,Hatchback,Diesel,Automatic,Used,Luxury,Grey
Mahindra Scorpio,25.97,21.5,7,Sedan,CNG,Automatic,Used,Sporty,Grey
Honda City,14.84,11.5,4,Hatchback,Electric,Automatic,New,Family,Red
Toyota Innova,28.66,24.8,4,SUV,Petrol,Manual,Excellent,Luxury,Silver
Hyundai Creta,36.6,12.3,4,Hatchback,Diesel,Automatic,Used,Luxury,White
Maruti Swift,17.02,27.4,4,Hatchback,CNG,Manual,New,Sporty,Red
Toyota Innova,23.65,14.2,7,Sedan,Petrol,Automatic,Excellent,Family,Grey
Hyundai Creta,38.52,22.3,4,Sedan,Petrol,Manual,Excellent,Family,Grey
Hyundai Venue,20.15,26.1,4,SUV,Petrol,Automatic,New,Luxury,Red
Mahindra Scorpio,21.43,20.8,7,MUV,CNG,Manual,New,Luxury,Red
Tata Nexon,26.99,19.5,7,SUV,Hybrid,Manual,Excellent,Family,Silver
MG Hector,37.5,27.3,5,MUV,Hybrid,Manual,New,Sporty,White
Toyota Innova,7.84,10.4,5,SUV,CNG,Manual,Excellent,Luxury,Red
Toyota Fortuner,39.71,22.3,7,MUV,Petrol,Manual,Excellent,Luxury,Silver
Honda City,42.76,19.3,5,Sedan,Petrol,Manual,Excellent,Sporty,Grey
Renault Triber,41.69,14.2,4,MUV,Diesel,Manual,Used,Luxury,Grey
Toyota Innova,26.56,27.1,4,SUV,CNG,Manual,Excellent,Sporty,Black
Honda City,27.57,16.1,7,SUV,CNG,Automatic,New,Sporty,Silver
Toyota Innova,44.4,15.4,7,Hatchback,Electric,Automatic,Excellent,Family,White
Toyota Innova,43.82,21.6,7,Hatchback,CNG,Automatic,Excellent,Luxury,Silver
Hyundai Venue,4.08,11.8,7,MUV,Petrol,Automatic,New,Family,Silver
Maruti Swift,38.45,22.7,4,Hatchback,CNG,Automatic,New,Family,Grey
Toyota Fortuner,4.53,17.4,4,Hatchback,Petrol,Manual,Excellent,Family,Silver
Renault Triber,25.74,21.3,4,SUV,Diesel,Automatic,Excellent,Sporty,Black
Kia Seltos,9.07,10.8,7,SUV,Electric,Automatic,Used,Sporty,Blue
Kia Seltos,17.84,23.7,5,MUV,Hybrid,Automatic,Excellent,Sporty,Black
Tata Nexon,39.21,22.1,5,SUV,Electric,Automatic,Used,Luxury,Red
Mahindra Scorpio,30.41,26.0,7,SUV,Electric,Manual,Used,Sporty,White
Maruti Baleno,37.41,15.4,7,Hatchback,Electric,Automatic,Excellent,Family,Black
MG Hector,28.37,22.1,7,Hatchback,Diesel,Manual,Excellent,Sporty,Blue
Maruti Swift,28.26,26.6,5,MUV,Petrol,Automatic,Excellent,Sporty,Red
Hyundai Venue,43.6,18.0,4,SUV,CNG,Automatic,Excellent,Luxury,White
Renault Triber,23.87,17.6,5,SUV,Hybrid,Automatic,Excellent,Sporty,Black
Mahindra Scorpio,35.19,14.3,7,Hatchback,Hybrid,Manual,Used,Family,Grey
Honda City,18.6,21.0,7,MUV,Petrol,Manual,Excellent,Family,Blue
Toyota Fortuner,35.19,15.9,4,Sedan,Petrol,Manual,New,Luxury,Black
Honda City,27.12,27.5,4,Sedan,Electric,Automatic,Excellent,Family,White
Mahindra Scorpio,25.45,13.3,7,Sedan,Petrol,Manual,New,Sporty,Blue
Hyundai Creta,36.35,10.8,7,Hatchback,Electric,Manual,Excellent,Sporty,Black
Toyota Fortuner,4.42,21.4,7,Hatchback,Diesel,Manual,Used,Family,Silver
Honda City,27.53,19.6,7,Sedan,CNG,Manual,Excellent,Sporty,Silver
MG Hector,33.44,10.6,4,Hatchback,Hybrid,Manual,Used,Sporty,Blue
Toyota Fortuner,36.49,11.7,7,MUV,Hybrid,Manual,Used,Luxury,White
Maruti Baleno,27.85,23.2,5,Sedan,Hybrid,Automatic,Excellent,Luxury,Grey
Hyundai Creta,4.59,22.8,7,SUV,Petrol,Automatic,New,Family,Red
Renault Triber,41.9,10.4,7,SUV,Electric,Automatic,New,Sporty,Grey
Mahindra Scorpio,22.72,22.1,5,SUV,Diesel,Automatic,Excellent,Luxury,Grey
MG Hector,12.84,16.9,4,Sedan,CNG,Automatic,Excellent,Family,Red
Hyundai Venue,43.99,20.4,7,MUV,CNG,Manual,Excellent,Family,Grey
Toyota Innova,24.64,14.8,7,MUV,Petrol,Manual,Excellent,Sporty,Silver
Maruti Swift,9.78,18.0,4,Hatchback,Electric,Automatic,Excellent,Luxury,Red
